,precision,recall,f1-score,support
background,0.6496872207327972,0.7456410256410256,0.6943648519579751,2925.0
conclusions,0.8312676668841052,0.8343518114360541,0.8328068837817231,4582.0
methods,0.9348021134483102,0.9426015279453156,0.9386856199008959,9948.0
objective,0.7445141065830722,0.5997474747474747,0.6643356643356644,2376.0
results,0.9175110019445297,0.9109846560308912,0.914236181929431,9841.0
accuracy,0.8685292531679698,0.8685292531679698,0.8685292531679698,0.8685292531679698
macro avg,0.8155564219185629,0.8066652991601522,0.8088858403811379,29672.0
weighted avg,0.8697359895614616,0.8685292531679698,0.8681734525838539,29672.0
