,precision,recall,f1-score,support
background,0.5639716312056737,0.6796581196581196,0.6164341085271318,2925.0
conclusions,0.7133173843700159,0.7808817110432126,0.7455719941654512,4582.0
methods,0.8954353508948321,0.8952553277040611,0.8953453302503267,9948.0
objective,0.7214397496087637,0.5820707070707071,0.6443046820405312,2376.0
results,0.8922097539922313,0.8402601361650239,0.8654560678214454,9841.0
accuracy,0.8130223779994608,0.8130223779994608,0.8130223779994608,0.8130223779994608
macro avg,0.7572747740143034,0.7556252003282249,0.7534224365609773,29672.0
weighted avg,0.8196348470365924,0.8130223779994608,0.8147073698435344,29672.0
