,precision,recall,f1-score,support
background,0.5680933852140078,0.24957264957264957,0.34679334916864607,2925.0
conclusions,0.48553345388788427,0.5859886512439982,0.5310522151898734,4582.0
methods,0.637507593508635,0.7384398874145557,0.6842718084858647,9948.0
objective,0.7113702623906706,0.1026936026936027,0.17947774917248988,2376.0
results,0.7011190974433628,0.7830505029976629,0.7398233486943164,9841.0
accuracy,0.6305944998651928,0.6305944998651928,0.6305944998651928,0.6305944998651928
macro avg,0.6207247584889121,0.49194905878449385,0.4962836941422381,29672.0
weighted avg,0.6342087408691536,0.6305944998651928,0.6053460654377958,29672.0
