,precision,recall,f1-score,support
background,0.5940409683426443,0.6543589743589744,0.6227428013665203,2925.0
conclusions,0.754547399957201,0.7695329550414666,0.7619665045921123,4582.0
methods,0.894588828549263,0.9273220747889023,0.9106614017769002,9948.0
objective,0.7394485087225662,0.553030303030303,0.6327955694678545,2376.0
results,0.8952312138728323,0.8813128747078549,0.8882175226586103,9841.0
accuracy,0.8308169317875438,0.8308169317875438,0.8308169317875438,0.8308169317875438
macro avg,0.7755713838889013,0.7571114363855003,0.7632767599723995,29672.0
weighted avg,0.8311261700546495,0.8308169317875438,0.8296233404035368,29672.0
