,precision,recall,f1-score,support
background,0.6454388984509466,0.7692307692307693,0.7019185774450164,2925.0
conclusions,0.7893700787401575,0.8751636839807944,0.8300558890498861,4582.0
methods,0.9307320918317076,0.9495375954965822,0.9400408021097676,9948.0
objective,0.7382585751978892,0.5888047138047138,0.6551158979161789,2376.0
results,0.9455969984550872,0.8707448430037598,0.906628577474475,9841.0
accuracy,0.8652601779455379,0.8652601779455379,0.8652601779455379,0.8652601779455379
macro avg,0.8098793285351575,0.8106963211033238,0.8067519487990648,29672.0
weighted avg,0.8702968375830732,0.8652601779455379,0.8656862033707323,29672.0
