,precision,recall,f1-score,support
background,0.6147668393782384,0.8112820512820513,0.6994841562269712,2925.0
conclusions,0.8801162509082102,0.7931034482758621,0.8343473768798071,4582.0
methods,0.9393848910122424,0.9487334137515079,0.9440360090022506,9948.0
objective,0.7806603773584906,0.5572390572390572,0.650294695481336,2376.0
results,0.9194164989939638,0.9286657859973579,0.9240179970678934,9841.0
accuracy,0.8731464006470747,0.8731464006470747,0.8731464006470747,0.8731464006470747
macro avg,0.8268689715302291,0.8078047513091672,0.8104360469316516,29672.0
weighted avg,0.8788997501292778,0.8731464006470747,0.8728296832363962,29672.0
