,precision,recall,f1-score,support
background,0.6547202797202797,0.7682051282051282,0.7069372345445966,2925.0
conclusions,0.8155359704857553,0.868398079441292,0.8411373004967763,4582.0
methods,0.9321432093894861,0.9500402090872537,0.9410066211977897,9948.0
objective,0.7847877358490566,0.5601851851851852,0.6537328094302554,2376.0
results,0.9330254041570438,0.9031602479422823,0.917849950947488,9841.0
accuracy,0.8727419789700728,0.8727419789700728,0.8727419789700728,0.8727419789700728
macro avg,0.8240425199203243,0.8099977699722283,0.8121327833233811,29672.0
weighted avg,0.8752818126395586,0.8727419789700728,0.8718268708572156,29672.0
