,precision,recall,f1-score,support
background,0.5915492957746479,0.6461538461538462,0.6176470588235294,2925.0
conclusions,0.7509677419354839,0.7621126145787865,0.7564991334488734,4582.0
methods,0.8835872377119862,0.9270205066344994,0.9047829286239882,9948.0
objective,0.7485714285714286,0.5513468013468014,0.6349975763451284,2376.0
results,0.8938796680497926,0.8756223960979576,0.8846568451311534,9841.0
accuracy,0.8267390132111081,0.8267390132111081,0.8267390132111081,0.8267390132111081
macro avg,0.7737110744086679,0.7524512329623783,0.7597167084745345,29672.0
weighted avg,0.8269215843897207,0.8267390132111081,0.8253012774603904,29672.0
