,precision,recall,f1-score,support
background,0.6462546283110225,0.7757264957264958,0.7050963331261654,2925.0
conclusions,0.8453380468404772,0.8350065473592317,0.8401405357927098,4582.0
methods,0.9360135336849438,0.9455166867712103,0.940741111166675,9948.0
objective,0.7868375072801398,0.5686026936026936,0.6601514781333985,2376.0
results,0.9193433985206201,0.921959150492836,0.9206494165398275,9841.0
accuracy,0.8737193313561606,0.8737193313561606,0.8737193313561606,0.8737193313561606
macro avg,0.8267574229274407,0.8093623147904936,0.8133557749517552,29672.0
weighted avg,0.8759733301991662,0.8737193313561606,0.8728449077748622,29672.0
