,precision,recall,f1-score,support
background,0.5773369199731002,0.587008547008547,0.5821325648414986,2925.0
conclusions,0.7293041072568631,0.7479266695766041,0.7384980066803146,4582.0
methods,0.8855755220981059,0.9164656212303981,0.9007558168255694,9948.0
objective,0.7016546018614271,0.5711279461279462,0.6296983758700696,2376.0
results,0.8834186284544524,0.8770450157504319,0.88022028453419,9841.0
accuracy,0.8172351038015637,0.8172351038015637,0.8172351038015637,0.8172351038015637
macro avg,0.7554579559287897,0.7399147599387854,0.7462610097503284,29672.0
weighted avg,0.8156154374780008,0.8172351038015637,0.8157746577824075,29672.0
