,precision,recall,f1-score,support
background,0.5715227422544495,0.5928205128205128,0.5819768417519718,2925.0
conclusions,0.7348746758859118,0.7422522915757311,0.7385450597176981,4582.0
methods,0.881125667151868,0.912746280659429,0.8966572853404434,9948.0
objective,0.689344672336168,0.57996632996633,0.6299428571428571,2376.0
results,0.8799711518648259,0.8678996036988111,0.873893692126669,9841.0
accuracy,0.8133593960636291,0.8133593960636291,0.8133593960636291,0.8133593960636291
macro avg,0.7513677818986446,0.7391370037441629,0.744203147215928,29672.0
weighted avg,0.8122815101712989,0.8133593960636291,0.8123137790882892,29672.0
