,precision,recall,f1-score,support
background,0.6391279403327597,0.7617094017094017,0.6950553735766651,2925.0
conclusions,0.8512693776679398,0.826931470973374,0.8389239455330455,4582.0
methods,0.9370031796502385,0.9479292320064334,0.9424345392764342,9948.0
objective,0.7597765363128491,0.5723905723905723,0.6529044647143543,2376.0
results,0.9190365347636879,0.9227720760085357,0.9209005171889261,9841.0
accuracy,0.8724723645187382,0.8724723645187382,0.8724723645187382,0.8724723645187382
macro avg,0.8212427137454951,0.8063465506176634,0.8100437680578849,29672.0
weighted avg,0.8742498225261922,0.8724723645187382,0.871737944212849,29672.0
