,precision,recall,f1-score,support
background,0.5853157121879589,0.6813675213675213,0.6296998420221169,2925.0
conclusions,0.7605758582502768,0.7494543867306853,0.7549741673079037,4582.0
methods,0.894808743169399,0.9217933252915159,0.9081006139829669,9948.0
objective,0.7732919254658385,0.523989898989899,0.6246864024084295,2376.0
results,0.885284010511421,0.8900518240016259,0.8876615150747403,9841.0
accuracy,0.8290981396602858,0.8290981396602858,0.8290981396602858,0.8290981396602858
macro avg,0.7798552499169789,0.7533313912762495,0.7610245081592315,29672.0
weighted avg,0.8306816520642848,0.8290981396602858,0.8275370868965695,29672.0
