,precision,recall,f1-score,support
background,0.644406392694064,0.7719658119658119,0.702442059418261,2925.0
conclusions,0.8508091332298825,0.8376254910519424,0.844165841856373,4582.0
methods,0.936558287073751,0.9497386409328509,0.9431024156518267,9948.0
objective,0.768285873813512,0.5791245791245792,0.6604271658267339,2376.0
results,0.9249335242380855,0.919012295498425,0.9219634028237933,9841.0
accuracy,0.8750337018064168,0.8750337018064168,0.8750337018064168,0.8750337018064168
macro avg,0.8249986422098589,0.8114933637147219,0.8144201771153977,29672.0
weighted avg,0.8771871136123968,0.8750337018064168,0.8744543857940804,29672.0
