,precision,recall,f1-score,support
background,0.47162426614481406,0.0823931623931624,0.14027939464493597,2925.0
conclusions,0.43012098456403836,0.4500218245307726,0.4398464163822526,4582.0
methods,0.547885676082233,0.65902694008846,0.5983389613945423,9948.0
objective,0.5454545454545454,0.005050505050505051,0.010008340283569641,2376.0
results,0.6204055254867114,0.780408495071639,0.6912691269126913,9841.0
accuracy,0.5577985980048531,0.5577985980048531,0.5577985980048531,0.5577985980048531
macro avg,0.5230981995464685,0.3953801854269078,0.3759484479235984,29672.0
weighted avg,0.5460397954882309,0.5577985980048531,0.512420085994014,29672.0
