label,precision,recall,f1-score,support
ct,0.9908355795148248,0.8739895387541607,0.9287518948964123,2103.0
xray_radiograph,0.9586009992862241,0.9795769511305616,0.9689754689754689,1371.0
mri,0.9041916167664671,0.9413965087281796,0.9224190592547342,802.0
ultrasound,0.9096573208722741,0.9864864864864865,0.946515397082658,296.0
angiography,0.6059113300492611,1.0,0.754601226993865,246.0
accuracy,0.9286010792860108,0.9286010792860108,0.9286010792860108,0.9286010792860108
macro avg,0.8738393692978104,0.9562898970198777,0.9042526094406277,4818.0
weighted avg,0.9425993409211516,0.9286010792860108,0.9313431191016558,4818.0
