model,shots,mode,accuracy,balanced_accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_micro,f1_weighted,time_s,time_per_sample_ms,eval_samples,trainable_params,checkpoint,model_path,predictions_csv,classification_report_csv,confusion_matrix_csv,note,train_time_s,val_accuracy,val_f1_macro
CLIP-ViT-B/32,0,Zero-shot classification,0.935865504358655,0.9489373130975839,0.8940112890885095,0.9441757544167325,0.9489373130975839,0.935865504358655,0.9138864403058202,0.935865504358655,0.9372772143078106,0.0001270771026611328,2.6375488306586305e-05,4818,0,none,openai/clip-vit-base-patch32,outputs/predictions_clip_vit_b_32_0shot.csv,outputs/classification_report_clip_vit_b_32_0shot.csv,outputs/confusion_matrix_clip_vit_b_32_0shot.csv,True Transformers CLIP zero-shot classification using image/caption embeddings against class-name prompts.,,,
OpenCLIP-ResNet50,0,Zero-shot classification,0.9286010792860108,0.9562898970198777,0.8738393692978104,0.9425993409211516,0.9562898970198777,0.9286010792860108,0.9042526094406277,0.9286010792860108,0.9313431191016558,0.0002872943878173828,5.962938725973077e-05,4818,0,none,hf-hub:timm/resnet50_clip.openai,outputs/predictions_openclip_resnet50_0shot.csv,outputs/classification_report_openclip_resnet50_0shot.csv,outputs/confusion_matrix_openclip_resnet50_0shot.csv,True OpenCLIP zero-shot classification using image/caption embeddings against class-name prompts.,,,
CLIP-ViT-B/32,8,Few-shot classification,0.7332918223329182,0.7257407203455981,0.7408192531086947,0.7467054697605504,0.7257407203455981,0.7332918223329182,0.7254806059805121,0.7332918223329182,0.729840457210161,0.011652469635009766,0.0024185283592797354,4818,1285,models/classifier_clip_vit_b_32_8shot.pkl,openai/clip-vit-base-patch32,outputs/predictions_clip_vit_b_32_8shot.csv,outputs/classification_report_clip_vit_b_32_8shot.csv,outputs/confusion_matrix_clip_vit_b_32_8shot.csv,Frozen multimodal features + LogisticRegression trained with 8 samples per class.,0.01299595832824707,0.7256264476731944,0.7230197582910847
OpenCLIP-ResNet50,8,Few-shot classification,0.7718970527189706,0.7786057463971019,0.7730123665161887,0.7861193973095048,0.7786057463971019,0.7718970527189706,0.7661152796728208,0.7718970527189706,0.7691142377105075,0.011704444885253906,0.0024293160824520356,4818,1285,models/classifier_openclip_resnet50_8shot.pkl,hf-hub:timm/resnet50_clip.openai,outputs/predictions_openclip_resnet50_8shot.csv,outputs/classification_report_openclip_resnet50_8shot.csv,outputs/confusion_matrix_openclip_resnet50_8shot.csv,Frozen multimodal features + LogisticRegression trained with 8 samples per class.,0.013410806655883789,0.764582017266793,0.7610461502041941
CLIP-ViT-B/32,32,Few-shot classification,0.9219593192195932,0.9412549808816006,0.8999290229750262,0.9247587478545014,0.9412549808816006,0.9219593192195932,0.9185483589994178,0.9219593192195932,0.9223891480899906,0.011285781860351562,0.002342420477449473,4818,1285,models/classifier_clip_vit_b_32_32shot.pkl,openai/clip-vit-base-patch32,outputs/predictions_clip_vit_b_32_32shot.csv,outputs/classification_report_clip_vit_b_32_32shot.csv,outputs/confusion_matrix_clip_vit_b_32_32shot.csv,Frozen multimodal features + LogisticRegression trained with 32 samples per class.,0.013541698455810547,0.9170351652979575,0.9167504127418515
OpenCLIP-ResNet50,32,Few-shot classification,0.9387712743877128,0.9516014893272835,0.9086180991017185,0.9415975300904916,0.9516014893272835,0.9387712743877128,0.9284659067823107,0.9387712743877128,0.9391502957523674,0.011611700057983398,0.0024100664296354086,4818,1285,models/classifier_openclip_resnet50_32shot.pkl,hf-hub:timm/resnet50_clip.openai,outputs/predictions_openclip_resnet50_32shot.csv,outputs/classification_report_openclip_resnet50_32shot.csv,outputs/confusion_matrix_openclip_resnet50_32shot.csv,Frozen multimodal features + LogisticRegression trained with 32 samples per class.,0.013680458068847656,0.9406190777005685,0.9297002664796578
