label,precision,recall,f1-score,support
ct,0.7238017871649066,0.8473609129814551,0.7807228915662651,2103.0
xray_radiograph,0.8605150214592274,0.5849744711889132,0.6964828484585324,1371.0
mri,0.600459242250287,0.6521197007481296,0.6252241482367006,802.0
ultrasound,0.8076923076923077,0.9222972972972973,0.861198738170347,296.0
angiography,0.7116279069767442,0.6219512195121951,0.6637744034707158,246.0
accuracy,0.7332918223329182,0.7332918223329182,0.7332918223329182,0.7332918223329182
macro avg,0.7408192531086947,0.7257407203455981,0.7254806059805121,4818.0
weighted avg,0.7467054697605504,0.7332918223329182,0.729840457210161,4818.0
