label,precision,recall,f1-score,support
ct,0.9735638027452974,0.910603899191631,0.941031941031941,2103.0
xray_radiograph,0.9585454545454546,0.9613420860685631,0.9599417334304443,1371.0
mri,0.8774341351660939,0.9551122194513716,0.9146268656716418,802.0
ultrasound,0.8978328173374613,0.9797297297297297,0.9369951534733441,296.0
angiography,0.8357142857142857,0.9512195121951219,0.8897338403041825,246.0
accuracy,0.9387712743877128,0.9387712743877128,0.9387712743877128,0.9387712743877128
macro avg,0.9086180991017185,0.9516014893272835,0.9284659067823107,4818.0
weighted avg,0.9415975300904916,0.9387712743877128,0.9391502957523674,4818.0
