label,precision,recall,f1-score,support
ct,0.8874773139745916,0.6975748930099858,0.7811501597444089,2103.0
xray_radiograph,0.8165879973027647,0.8832968636032094,0.8486334968465312,1371.0
mri,0.5962566844919787,0.8341645885286783,0.6954261954261954,802.0
ultrasound,0.9214285714285714,0.8716216216216216,0.8958333333333334,296.0
angiography,0.7535714285714286,0.8577235772357723,0.8022813688212928,246.0
accuracy,0.7920298879202988,0.7920298879202988,0.7920298879202988,0.7920298879202988
macro avg,0.795064399153867,0.8288763087998534,0.8046649108343523,4818.0
weighted avg,0.8140776722965238,0.7920298879202988,0.7942081781335824,4818.0
